voiceID,meanF0_Hz,harmonics,percurssives
Andre,148.23707862516585,-0.0,-1e-06
Andre,148.35708376850621,-0.0,2e-06
Andre,146.28973488966008,-0.0,-1e-06
Andre,142.8696916236171,0.0,-0.0
Andre,144.68703187028302,0.0,-0.0
Andre,131.36446918888026,-0.0,1e-06
Andre,158.20902727823872,0.0,-0.0
Andre,149.01379206466655,-0.0,-0.0
Andre,142.53600898593473,0.0,1e-06
Andre,144.65903866664078,-0.0,-2e-06
Andre,145.2082807983572,0.0,1e-06
Andre,149.8851765299121,-0.0,-0.0
Andre,150.8453641786151,0.0,1e-06
Andre,147.41959048430778,0.0,3e-06
Andre,147.8427290628222,0.0,1e-06
Andre,148.75400237428815,-0.0,1e-06
Andre,154.66251034351762,0.0,1e-06
Andre,150.18661789008266,-0.0,-2e-06
Andre,162.95310775696248,-0.0,-1e-06
Andre,146.56071931121247,0.0,0.0
Andre,148.57923023548912,0.0,-0.0
Andre,155.4877370441185,-0.0,-2e-06
Andre,153.94240232216785,-0.0,-1e-06
Andre,151.03184236130355,-0.0,-1e-06
Andre,153.48242060239266,0.0,1e-06
Andre,157.6787988013953,-0.0,-1e-06
Andre,157.6565170312966,0.0,1e-06
Andre,149.24132181133922,-0.0,-1e-06
Andre,148.16279648234982,-0.0,-2e-06
Andre,159.34834014189482,0.0,5e-06
Andre,151.9610061566565,-0.0,-3e-06
Andre,141.25118685630147,-0.0,-3e-06
Andre,150.96454827523084,-0.0,-1e-06
Andre,148.24362700600125,-0.0,-0.0
Andre,160.94949780586973,0.0,0.0
Andre,150.01259210229273,-0.0,-3e-06
Andre,149.27418439769343,-0.0,-1e-06
Andre,150.6809013648208,0.0,4e-06
Andre,152.38390691726227,0.0,1e-06
Andre,151.02194283323203,-0.0,-0.0
Andre,149.92404689215994,-0.0,0.0
Andre,145.97664262847346,0.0,-1e-06
Andre,153.33223176091806,0.0,4e-06
Andre,150.34574066508938,-0.0,-3e-06
Andre,148.32459375602346,0.0,1e-06
Andre,144.65750251171264,0.0,-1e-06
Andre,140.82984589209474,-0.0,-3e-06
Andre,152.40042393818575,-0.0,0.0
Andre,145.625372236031,-0.0,1e-06
Andre,145.43102805148268,0.0,-2e-06
Andre,149.43160612778306,-0.0,-2e-06
Andre,157.24664836587067,0.0,3e-06
Andre,148.25701202484763,0.0,2e-06
Andre,146.13398391116633,0.0,-0.0
Andre,149.67003166187553,0.0,1e-06
Andre,145.78849461313345,0.0,1e-06
Andre,147.04992773760623,-0.0,-2e-06
Andre,149.594825474743,-0.0,-1e-06
Andre,140.5587145486823,0.0,-1e-06
Andre,150.18368910412156,0.0,-0.0
Andre,142.70453846159546,-0.0,1e-06
Andre,149.67124589556084,0.0,3e-06
Andre,146.90226281250298,0.0,1e-06
Andre,143.0854792640876,0.0,1e-06
Andre,149.43028232527098,0.0,2e-06
Andre,160.56569480010393,-0.0,-0.0
Andre,154.2135457473829,-0.0,1e-06
Andre,156.30721513891737,0.0,2e-06
Andre,153.62297222247244,0.0,1e-06
Andre,151.30650359570254,-0.0,-2e-06
Andre,148.82161064886577,0.0,-1e-06
Andre,138.56972651162482,0.0,-0.0
Andre,156.52383131688063,-0.0,-2e-06
Andre,156.3249463191924,-0.0,-2e-06
Andre,142.0458731459682,0.0,0.0
Andre,148.7991819155718,-0.0,1e-06
Andre,151.12143760439702,-0.0,1e-06
Andre,172.3521037494835,-0.0,1e-06
Andre,148.99728274007677,-0.0,0.0
Andre,176.06880047676935,-0.0,-1e-06
Andre,159.3799956215493,-0.0,-1e-06
Andre,163.70942408571247,-0.0,-3e-06
Andre,143.66012482935704,-0.0,-2e-06
Andre,146.99431462807274,-0.0,-1e-06
Andre,154.8723982878536,-0.0,-1e-06
Andre,148.70223534253915,-0.0,1e-06
Andre,155.75150717371034,0.0,-1e-06
Andre,150.27335539614612,-0.0,-1e-06
Andre,151.0389445434658,0.0,3e-06
Andre,147.37055160668754,-0.0,-1e-06
Andre,152.91591193899237,0.0,1e-06
Andre,160.54074007127358,-0.0,0.0
Andre,157.89554568284544,0.0,0.0
Andre,157.87256185035656,-0.0,-2e-06
Andre,165.32430256623988,0.0,2e-06
Andre,158.13723824513903,-0.0,-1e-06
Andre,156.83396918606937,-0.0,-1e-06
